PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 334960985321 is not enabled.;arn:aws:accessanalyzer:eu-north-1:334960985321:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::334960985321:root;account_maintain_current_contact_details;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::334960985321:root;account_security_contact_information_is_registered;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.13;Information Backup;Backup copies of information, software and systems should be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.;A.8 Technological controls;A.8.13;Information Backup;Backup copies of information, software and systems should be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.;FAIL;No Backup Vault exist.;arn:aws:backup:eu-north-1:334960985321:backup-vault;backup_vaults_exist;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:eu-north-1:334960985321:model-invocation-logging;bedrock_model_invocation_logging_enabled;False;model-invocation-logging;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudTrail trails enabled and logging management events were found.;arn:aws:cloudtrail:eu-north-1:334960985321:trail;cloudtrail_multi_region_enabled_logging_management_events;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudTrail trails enabled and logging management events were found.;arn:aws:cloudtrail:eu-north-1:334960985321:trail;cloudtrail_multi_region_enabled_logging_management_events;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_network_acls_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_network_acls_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_network_gateways_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_network_gateways_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_authentication_failures;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_authentication_failures;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_aws_organizations_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_aws_organizations_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_for_s3_bucket_policy_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_for_s3_bucket_policy_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_policy_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_policy_changes;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_root_usage;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;A.8 Technological controls;A.8.16;Monitoring Activities;Networks, systems and applications should be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:eu-north-1:334960985321:log-group;cloudwatch_log_metric_filter_root_usage;False;334960985321;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
